answers,resps,success
D,D,True
A,A,True
D,D,True
C,C,True
A,A,True
D,D,True
B,B,True
C,C,True
A,A,True
B,B,True
D,D,True
D,D,True
A,A,True
B,B,True
D,D,True
B,B,True
D,D,True
A,A,True
C,C,True
B,B,True
D,D,True
A,A,True
D,D,True
D,D,True
C,C,True
D,D,True
A,A,True
B,B,True
C,C,True
B,B,True
B,B,True
B,B,True
D,D,True
C,C,True
A,A,True
B,B,True
C,C,True
C,C,True
C,C,True
B,B,True
D,D,True
C,C,True
B,B,True
C,C,True
B,B,True
C,C,True
C,C,True
C,B,True
A,A,True
C,C,True
C,B,True
A,A,True
C,C,True
B,B,True
C,C,True
C,A,True
B,B,True
C,C,True
A,A,True
A,A,True
D,D,True
D,D,True
C,B,True
C,C,True
B,B,True
B,B,True
A,A,True
B,B,True
B,B,True
C,C,True
C,C,True
B,B,True
C,B,True
B,B,True
C,C,True
C,C,True
D,D,True
D,D,True
C,C,True
A,A,True
A,A,True
D,D,True
D,D,True
A,A,True
C,C,True
C,C,True
C,C,True
D,D,True
B,B,True
C,C,True
C,C,True
B,B,True
D,D,True
A,A,True
D,A,True
D,D,True
D,D,True
B,B,True
D,D,True
B,B,True
A,A,True
A,A,True
A,A,True
C,C,True
B,B,True
B,B,True
A,A,True
D,A,True
D,D,True
A,A,True
B,B,True
B,B,True
A,A,True
B,B,True
D,D,True
C,C,True
B,B,True
B,D,True
B,B,True
C,C,True
C,C,True
D,A,True
B,B,True
C,C,True
A,A,True
B,B,True
A,A,True
A,A,True
C,C,True
A,A,True
D,D,True
C,C,True
B,B,True
D,D,True
D,B,True
B,D,True
C,D,True
C,C,True
C,C,True
B,B,True
C,C,True
D,D,True
C,C,True
A,A,True
B,B,True
B,B,True
B,B,True
C,C,True
A,A,True
B,B,True
C,D,True
B,B,True
D,D,True
B,B,True
A,A,True
C,A,True
B,B,True
C,C,True
C,C,True
C,C,True
A,A,True
B,B,True
B,B,True
D,D,True
D,A,True
D,B,True
A,A,True
D,D,True
C,C,True
B,B,True
D,B,True
D,D,True
C,C,True
D,D,True
D,B,True
B,B,True
C,C,True
C,C,True
C,C,True
A,A,True
D,D,True
D,A,True
B,B,True
