answers,resps,success
D,D.,True
A,A.,True
D,D.,True
C,C.,True
A,A.,True
D,D.,True
B,B.,True
C,C.,True
A,A.,True
B,B.,True
D,C.,True
D,D.,True
A,A.,True
B,B,True
D,D.,True
B,B.,True
D,C.,True
A,A.,True
C,C.,True
B,B.,True
D,D.,True
A,A.,True
D,D.,True
D,B.,True
C,C.,True
D,D.,True
A,A.,True
B,B.,True
C,,False
B,B.,True
B,B.,True
B,B.,True
D,D.,True
C,C.,True
A,A.,True
B,A.,True
C,C.,True
C,D.,True
C,C.,True
B,B.,True
D,D.,True
C,C.,True
B,B.,True
C,B.,True
B,B.,True
C,A.,True
C,C.,True
C,B.,True
A,A,True
C,B.,True
C,C.,True
A,A.,True
C,C.,True
B,B.,True
C,C.,True
C,A.,True
B,B.,True
C,C.,True
A,A.,True
A,A.,True
D,D.,True
D,D.,True
C,C.,True
C,C.,True
B,B.,True
B,D.,True
A,D.,True
B,B.,True
B,B.,True
C,C,True
C,C.,True
B,B.,True
C,C.,True
B,C.,True
C,C.,True
C,C,True
D,C.,True
D,D.,True
C,C.,True
A,D,True
A,A.,True
D,D,True
D,D.,True
A,C.,True
C,C.,True
C,C.,True
C,C.,True
D,D.,True
B,B.,True
C,C.,True
C,C.,True
B,B.,True
D,D.,True
A,A.,True
D,A.,True
D,D.,True
D,D.,True
B,B.,True
D,B.,True
B,B.,True
A,A.,True
A,A.,True
A,A.,True
C,A,True
B,B.,True
B,B.,True
A,A,True
D,A.,True
D,D.,True
A,A.,True
B,B.,True
B,B.,True
A,A.,True
B,B.,True
D,C.,True
C,C.,True
B,B.,True
B,D.,True
B,B.,True
C,C.,True
C,C.,True
D,A.,True
B,B.,True
C,C.,True
A,A,True
B,B.,True
A,A.,True
A,A.,True
C,C.,True
A,A.,True
D,D.,True
C,C.,True
B,B.,True
D,D.,True
D,D.,True
B,D.,True
C,C.,True
C,C.,True
C,D,True
B,B.,True
C,C.,True
D,C.,True
C,C.,True
A,A,True
B,B.,True
B,B,True
B,B.,True
C,D.,True
A,A.,True
B,B.,True
C,C.,True
B,B.,True
D,D.,True
B,B.,True
A,A.,True
C,C.,True
B,B.,True
C,C.,True
C,D.,True
C,C.,True
A,A.,True
B,B.,True
B,B.,True
D,D.,True
D,A.,True
D,B.,True
A,D.,True
D,D,True
C,C,True
B,B.,True
D,D.,True
D,D.,True
C,C.,True
D,D.,True
D,B,True
B,C.,True
C,C,True
C,C.,True
C,C.,True
A,A.,True
D,D.,True
D,D,True
B,B,True
